stock_code,title,time,source,url,content,news_type
000032,智谱AI概念下跌0.61%，主力资金净流出47股,2026-02-25 16:33:33,证券时报网,http://finance.eastmoney.com/a/202602253654081497.html,2362.97 300047 天源迪科 0.07 3.15 -2133.20 688400 凌云光 0.79 3.63 -1529.56 300232 洲明科技 -0.72 5.22 -1486.75 300925 法本信息 -0.05 2.35 -1361.20 000032 深桑达,data
000032,深桑达Ａ：公司现未布局太空算力,2026-02-12 21:54:54,每日经济新闻,http://finance.eastmoney.com/a/202602123649505339.html,深桑达Ａ（000032.SZ）2月12日在投资者互动平台表示，公司现未布局太空算力。,event
000032,深桑达A：中国电子云可信数据空间以国家数据基础设施标准为指引 构建覆盖多方主体的数据基础设施体系,2026-02-11 21:07:50,证券日报,http://finance.eastmoney.com/a/202602113648150645.html,证券日报网讯 2月11日，深桑达A在互动平台回答投资者提问时表示，中国电子云可信数据空间以国家数据基础设施标准为指引，构建覆盖多方主体的数据基础设施体系，推动数据资源从“自给自足”向“流通赋能”发展。,event
000032,深桑达A：公司将持续聚焦主责主业，进一步强化经营管理,2026-02-11 21:05:11,证券日报,http://finance.eastmoney.com/a/202602113648145452.html,证券日报网讯 2月11日，深桑达A在互动平台回答投资者提问时表示，公司是洁净室整体解决方案的专业提供商和龙头企业，致力于为高科技产业领域企业提供洁净室工程一站式服务，洁净室净化工程级别最高已达到国际领先标准，先后参与数百个高科技领域内中国本土及国际巨头重大项目建设，为多家国内知名企业的洁净室提供系统集成工程服务,event
000032,深桑达Ａ：全国首个遥感行业可信数据空间项目现正在稳步推进，目前公司尚未签订相关销售协议,2026-02-11 17:22:59,每日经济新闻,http://finance.eastmoney.com/a/202602113647963747.html,深桑达Ａ（000032.SZ）2月11日在投资者互动平台表示，您好，中国电子云可信数据空间以国家数据基础设施标准为指引，构建覆盖多方主体的数据基础设施体系，推动数据资源从“自给自足”向“流通赋能”发展。,event
000032,数据确权概念涨2.52%，主力资金净流入35股,2026-02-10 16:58:26,证券时报网,http://finance.eastmoney.com/a/202602103646725538.html,广电运通 2.55 1.55 6546.99 12.83 300113 顺网科技 2.07 15.33 6311.44 2.93 301248 杰创智能 6.03 6.95 2562.10 6.89 600880 博瑞传播 3.08 8.31 2510.50 4.39 000032 深桑达,data
000032,26.33亿主力资金净流入，AI语料概念涨3.47%,2026-02-10 16:58:14,证券时报网,http://finance.eastmoney.com/a/202602103646720955.html,海天瑞声 0.48 9.19 7231.93 8.63 688039 当虹科技 3.73 8.55 7052.61 12.54 603533 掌阅科技 10.00 0.67 6370.42 77.24 300248 新开普 1.87 4.02 2816.36 12.66 000032 深桑达,data
000032,深桑达Ａ:关于变更签字注册会计师的公告,2026-02-10 00:00:00,公告,,,event
000032,深桑达A：关于变更签字注册会计师的公告,2026-02-09 20:08:29,证券日报,http://finance.eastmoney.com/a/202602093645628217.html,证券日报网讯 2月9日，深桑达A发布公告称，中兴华作为公司2025年度财务报告及内部控制审计机构，原委派王宝成先生为项目合伙人、吴兴华先生为签字注册会计师，因工作调整，现委派申海洋先生为项目合伙人、王宝成先生为签字注册会计师，继续完成公司2025年度审计工作。,event
000032,AI语料概念上涨5.09%，9股主力资金净流入超亿元,2026-02-09 17:14:33,证券时报网,http://finance.eastmoney.com/a/202602093645490490.html,世纪天鸿 6.14 12.25 3437.03 5.88 300341 麦克奥迪 4.58 2.82 3043.53 11.99 688692 达梦数据 5.17 2.45 2797.45 5.85 688039 当虹科技 8.72 6.08 2673.69 7.00 000032 深桑达,data
